,Review,Rating
4150,"not best place stay money stayed el san juan november 17 19 2005 heading bvi, dont waste place, beach nice pool area nice rooms not good, bathrooms loovered doors dont like, second showers super small husband stand sideways shower, patio dirty bird droppings not cleaned entire stay, moss growing walls patio, best room 323 right disco went till 2 a.m. did not sleep, did not complain not helpful desk staying 2 nights, did not sleep, restaurants looked nice did not eat, opinion stay inter continental, not stay,  ",2
4151,"consider staying lobby absolutely beautiful lots action night best caribbean tough drink rude bartenders cigar cigarette smoke filled needs ventillation, want nightlife place staying visiting night wiser choice.rooms outdated beds bedding need replaced worn poor lighting maybe hide room condition bathrooms need renovated carpeting worn dirty.pool area beautiful crowded terrible service.casino beautiful best san juan.restaurants lots choices reasonably good food service pool lobby.overall rooms service poor, hotel not used, looks like owners sucked dollar place staff based attitude putting little place, not reccommend hotel stay nightime visit worth experience,  ",2
4154,"nunca mas husband stayed th el san juan 6 days july disappointed, lobby lovely nostalgic elegant bygone era live music great property offer, rooms hallways dirtyand rundown, entire hotel including pretty lobby musty moldy smell, pool/garden area beachfront substandard, beach fact public beach hotel rowdy locals, best 3 star hotel, intercontinental ritz better maintained attract exclusive crowd, employees used hearing complaints not responsive, really wish read reviews,  ",2
4157,"security staff control control staff caused inexcusable scene pool second day stay, brother decided bagel oj coffee nearby bakery featured healthy breakfasts, gorgeous morning decided eat hotel pool enjoying sunshine, immediately pool waiter told brother beach incidentally pool area 30 point day brother refused paying guests hotel figured obsurd occurred continued eat bagels, soon security called surrounded 3 security officers uniformed suit bar manager bar waiter, asked problem security guards replied eating food pool not purchased wyndham hotel policy replied policy pay room dusty leaky air conditioner order cordless phone, continued eat tried determine handle situation, actually feared attempt bodily remove pool area, suited guy big, finally stated bar manager beginning look foolish, took bite bagel told bar manager way solved politely ask person eating finish dont rest stay, agreed, reasonable polite bar waiter used profanity provocation, incidentally no really knew food purchased bakery used plain white bags generic coffee cups, security staff scattered left pool area stared guests, announced guilty bringing outside food thats, winessed response assumed perps doing drugs, surprised response staff, promptly went straight management given hollow apology told ac leak cordless phone fixed, simply unplugged phone, promptly called wyndham explained situation said address situation phoned dallas headquarters needless say end dealings management, later bagel coffee plain white bag oj purchased hotel no way known outside unless admitted failed receipt, day stay repeated sequence time purchasing hotel premises, brother stopped checked prior entering pool area purchasing items hotel, promptly shoved receipt guards face, witnessed pointing repeatedly stay hotel went pool area, bothered no written rules tell guest eating off-site food public areas not allowed, hotel unruly unwelcoming staff hotel cruiseship bb stayed, actually glad leave unfriendly over-priced hotel, stayed howard johnsons 4 months prior better experience cleaner better appointed rooms better view ocean half price, time glad return michigan stay tropics, stay away stay away stay away,  ",1
4158,"terrible service overall disappointing rooms hotel dirty run-down, stains carpet patio littered glass trash cigarette buts, additionally holes dry wall, pool filthy beach, accommodations pool beach certainly disappointing aspect stay service hotel absolutely appalling, asked repeatedly evidence staying hotel did not belong, not obnoxious insulting, service restaurants bars casino poor best, nights waited 20 minutes waitress drink order, finally prices resort out-of-sight, bottle sunscreen sells 16 6 local grocery store, acquainted outlandish resort prices prices wyndham san juan far surpass seen,  ",1
4159,"loved lobby nightlife loved, husband went san juan 3 couples apprehensive staying wsj reading negative reviews, lowdown saw raves lobby nightlife n't exaggerating, vibrant fun, restaurants great, pool area pretty nice certainly nice not nicer pool areas hotels, service mediocre, room low-down, saw couple different rooms vary greatly, couple shown casita room refused scary rest placed tower, rooms n't horrible just expect holiday inn not filthy just old tired, spa quite disappointing, love return san juan stay just aim returning wsj night,  ",2
4160,"no praise wyndham given hotel good rating drunk entire vacation, started staying el san juan managed williams hospitality group doubt elegant hotel isla verde/condado area, spotless inside service warm personal, wyndham took management hotel changed worse, november experienced check-in problems reviewers, arrived 12:00 noon finally got room 5:00 p.m. sure waste time, years employees rude, surely no cared waited afternoon room, fact complained 4:30 p.m. desk person said hotel 5:00 p.m. room ready, rude, bet, room o.k. spotted coffee set-up anxious cup coffee, way puerto rican coffee best coffees world, looked closer coffeemaker quarter pot coffee left carafe molded, long sitting, lost taste coffee, later requested clean carafe believe not carafe molded coffee remained room days proof rooms n't cleaned, years ago concierge booked wrong restaurant daughter husband shrugged said booked, acouple years ago friends pool area pool wrist bands treated like criminals security force, idea, maybe misses n't important paid 300.00 night hotel expect better treatment, return, like says pool area lobby great activity, guess management knows draw cut corners customer relations cleanliness, took walk ritz carlton trip quite frankly felt creepy quiet, way reviewer mentioned beach shared el san juan intercontinental, actually entire beach public sit beach hotel,  ",2
4161,"horrible rooms husband stayed wyndham el san juan 8/12, unless planning sleeping lobby n't stay 2 hours room glass shower door fall track desk not concerned gotten hurt not, rooms old dirty allergies dust especially carpets- think times.we wait days room changed, supposed uprgrade actually moss infected.the thing hotel going entertainment restaurants notch.the hotel situated beautiful beach entertainment food choices hotel knows guaranteed business, guess not complaints seriously,  ",1
4163,"n't waste disappointed hotel rooms, expect beauty lobby rooms n't, mold growing walls bath water dripping air conditioning vents room bath, wyndham request brought beverage choice waiting arrival 4 hours checked, best available room overlooking rooftop sounded like airplane going land balcony, 400 nite rididculous, stay, hotel staff desk rude did not care, groups arrived later week staff held elevators n't guests, bed sagged badly, hotel needs update,  ",2
4165,"abysmal service el san juan reservations wyndham el san juan phone 2/19-2/22, paid advance webrate, received type confirmation called wyndham 4 days trip faxed confirmation, dates reservation incorrect arriving 2/20 instead, hotel completely sold decent hotel san juan, flight tickets extremely upset, woman phone insisted not error reservation read reservation not, share room friends embassy suites night, finally checked el san juan women desk unwelcoming attitude, told wyndham messed reservation hope upgrade room make huge inconvenience, received low-level room view cinderblocks laying low-level roof, bathroom dirty, went beach greeted rude hotel employee refused umbrella, said reserved saw dozen umbrellas beach unused, hotel employee moving chaise lounges rusty cart scraped husband leg causing bleed resulting gash, employee apologetic, husband finally complained security guard amazingly umbrella immediately available, hotel definitely hotspot night attractive lobby not recommend staying, doubt worst hotel stays experienced,  ",1
4166,"anniversary surprise, booked night stay husband wyndham esj 20th wedding anniversary surprise husband, guessed real surprise going, called wyndham esj make dinner reservations set-up room surprises husband arrival date anniversary august 27th, receptionist told contact wyndham request member personally request exactly wanted room set-up, spent 20 minutes filling forms requesting special items placed room, great idea thought, arrived hotel went straight request desk holding membership card hand, gave membership card waited gentleman punched number, sorry no record told, check-in main reservation desk, okay little bump road nothing major thought proceeded reservation desk, specialist confirmed reservation asked check dates stay, excuse said n't right, supposed staying nights 27th 30th, oh no sorry overbooked hotel final night cancelled, surprise, happy anniversary, course husband saw slowly having major melt-down came defense, minutes no resolution situation said given wonderful room ocean view best make mix-up, waited reservation lack thereof gave key room decided unpack relax, course thinking price paying looks lobby gorgeous room wonderful just described, mold air conditioning vent cigarette burns carpeting broken wood slats window wonderful room wonderful, not mention room smelled like dirty socks, best hate worst, make long story short possible checked intercontinental couple doors going send night stay, ended impressed staff hotel immediately booked nights instead, returned wyndham esj cancelled existing reservation headed intercontinental anniversary trip ended better started, advice considering wyndham esj ahead make sure did n't overbook reservation surprised,  ",1
4173,"relieved turned ugly read negative reviews decided not stay, no hotel middle trip fly seat pants travellers ended going convenient decent 80/night rate, left fate, lobby unique contemporary home modern art museum, room modern looked fine, bed soft, television did n't work toilet did n't correctly alarm went gone bed midnight kept calling room just past 5 morning, got moved room faced busy road terribly noisy, said equivalent old room receptionist checked nice gave free upgrade extra 45 dollars, moved fine thought room smelled funny really irritated, moved seasons happy ending began,  ",2
4174,"noise no room charges allowed hotel attractive lovely features amazing fountain entrance problems staying, firstly room directly china grill techno blaring room 2am, stay make sure ask room away disco, did complaining unfortunately cash guests- meant not charges room, annoying pay cash everything- signed 300 incidentals receipt plus embarrassing told cash-only status room-service waiter, did complained noise just did not like look big problem, nice hotel make sure iron potential problems check good stay,  ",2
4176,"step hostel based glowing reviews site high expectations, not met, reviews mention owner/manager, great says, 4 days saw, rest staff does not speak english, rate tried charge room higher agreed checked took quite time clear things, rooms quite worn old concave mattresses slight musty smell, rooms bathrooms clean, area just ok definitely not convenient hotel neighborhoods, quite hike subway not shops restaurants, immediate vicinity, biggest complaint told desk staff tip maid, management thinks employees deserve money pay not tell guests, did tip maid think did good job challengingly small room btw issue concept instructed tip, overall level comfort nicer hostels stayed, want bit comfortable priceline 3 4 star hotels central neighborhoods just little money, time,  ",2
4187,"3 star hotel poor royal service plan stayed gran melia reforma booked master suite royal service plan, royal service plan includes continental breakfast snacks cocktails 6-8pm, service private check-in check-out 12th floor, complaints did n't service paid, tipping extra room service check-out charged tip everytime ordered, breakfast really bad visit marquis reforma tips breakfast buffett, royal service lounge pc internet access, person professional courteous elizabeth thank soo understanding, traveling wife kids 3yr old daugher 19 month old son, traveling mexico city look jw marriott marquis reforma, complaints royal service staff not,  ",2
4190,"14.50 usd charge toll free mexico city week nights, spent night sheraton historico rate 178 based favorable reviews tripadvisor decided try save money second night galleria plaza, contrast striking, room gp tired tiny dark, clean place sleep, check morning reviewing charge 14.50 toll free mci access line 800 number say, frequently minor charge 2.50 usd sheraton night not excessive bordered fraud, challenged charge check stated not posted room extremely excessive, clerk kept insisting finally agreed reduce charge 4.00 usd, recommendation stay sheraton, dollars night day difference room overall hotel environment absence fraudulent telephone practices,  ",2
4194,"place place, trust place, loud no frills, place aimed losers diem n't smart shop, buy internet local provider fraction hotel charges, sources snacks sodas water mini-bar street 7/11 closes, place,  ",1
4203,"practical dated good location better hotels close rooms looked bit dated having just spent 4 night spacious modern suite cosmopolitan just 40, tv sofa area room old display problems picture turning green wherreas cosmopolitan brand new flat screen tv rooms, air conditioning noisy, annoyed arriving 10am morning wait till 4pm till room available called twice 1st time room wasnt available 2nd time room free stank smoke non smoking room told sorry come later hotel upgraded oh well.no impressive mentioned honeymoon man desk n't friendly did n't say congratulations unlike sheraton gave plus surprise bottle wine.im honestly not surprised good reviews hotel pretty good having spent bit time 3 hotels better money, cosmopolitan best hotel stayed,  ",2
4213,"not worth 200 boyfriend going toronto lord rings 1 year anniversary, shopped decided cambridge suites, selling point boyfriend robes provided room, booked reservation phone late february early march, called beginning confirm reservation lost, confirmation number given old told, lost, looking bit figured looked best wasnt far theater, called rebooked, went check 300 deposit room, fine told head time like budget things didnt credit card, ended doing little juggling debit card credit card, like said wouldnt problem long told, outrageous amont deposit, use hottub nice night bed comfortable, liked large bathroom, oh yea, evening turn service didnt know, came room things replenished bed ready sleep chocolates weather report, didnt really need service nice touch little warning werent confused things moved nice, round ok experiance, stay, not sure, havent stayen toronto lot probably check places, stay make sure confirm,  ",2
4221,"disappointing hotel business trip toronto arriving midnight leaving 4:00 time crucial needed place close business appointment called hotel confirm location good requested non-scented cleaning products used room room located far away elevators needed double beds, read negative reviews written hotel concerned called hotel review reservation requests assured requests met hotel short walking distance destination, arrived hotel midnight given room double bed called desk agreed change rooms rooms cleaned scented cleaning products stayed room clean bed linens best, requested wake-up room service coffee tea coordinate wake-up delightfully carried friendly staff, short walk actually gave directions ended 15 minute cab ride walked 15 minutes late appointment, desk asked stay related disappointments terms service disappointing tardiness appointment reflected poorly,  ",2
4229,"nice rooms not clean bathrooms definitely regards class standards hotel like expect cleaner bathrooms, staff pretty good spending night experiencing joy 4 legged creature crawling face middle night stay,  ",2
4242,"need refurbishment stayed 7 nights, hotel great location staff efficient polite, dissapointed checked sheets stains looked worn, sheets looked not changed checked, called reception 3am changed apologetic changed immediately sheets holes looked worn, dissapointed suppose 5 star establishment, think real need refurbishment, not good value,  ",2
4245,"not worth price marriott eaton centre overpriced hotels city, hotel fine lies discrepency, stayed hotels toronto 250 received better product better service, closeness eaton centre nice gigantic construction zone hotel n't, stayed hilton sheraton cambridge suites far better experience, avoid hotel just cash cow marriott,  ",2
4249,"tiny rooms excellent place stay monk, room tiny bare, ran bottled water desk, room spotless price high compared hotel catedral gillow, left night,  ",2
4251,"love patio restaurant small clean rooms, double occupancy means 2 twin beds, non-potable water bathroom bottles water fre, air, good room service, staff courteous efficient, excellent patio restaurant,  ",2
4253,"ok dwarfs stayed holiday inn march 2005. rooms smallest encountered hotel, position great little noisy times breakfast rooftop restaurant enjoyable,  ",2
4267,"taking expensive chance stayed 9 nights draycott month ago.i really say regret not stay nor recommend, booked deluxe doubles, wife daughter room lovely spacious ac worked bathroom large nice.the room son stayed bathroom size postage stamp air conditioning did n't work trickle n't, talking staff apparent n't time issues arisen, understand rooms small hotel tiny bathrooms trying make 21st century ac function 3 victorian buildings cobbled hotel does n't work, main point ca n't know booking, arrive staff affable ca n't help, small hotel 25 rooms really no place especially busy season, check room rates expedia, hotel not financially faint heart, price 9 day stay not worth rolling dice, stay,  ",1
4273,"watch single rooms location common rooms gardens nice disappointed single room wish remember think author beginning edith, hotel credit warn time booking small room, not tell essentially windowless window completely frosted hide ugly view utility shaft makes feel claustrophobic b add insult injury ridiculously little electric lighting room adding cave-like feel place, addition bed short converted sofa 5'10 short a/c did not work properly hot spell april, uncomfortable stay say bathroom considering tiny space pretty designed user-friendly, just recommend people stay away small singles unless like living like bat,  ",2
4280,"hurry leave, really sucks, terrible food cold, clienliness- oh god, no thing, dirty foodsteps sheets,  ",1
4288,"good room poor service service hotel poor price paid, staff desk tended supercilious arrogant staff member fun whining american guests, package included fruit basket delivered nightly room asked not recieving turned away staff member told not entitled, staff make assertions certain things checking things, words appearances highly valued actually helpful, staff booked french speaking tour speak english, breakfast extremely limited basics provided staff serving tea refuse speak english quite testy, morning hear screams raucous laughter coming kitchen adjacent breakfast dining area waiter tell chefs quieten, highly unprofessional high class hotel.on positive note executive room hyatt exceptionally clean modern spacious tastefully decorated, view eiffel tower room box welcome candies xmas tree room,  ",2
4296,"stayed room 62 told flagship suite hotel june 15-17 2006 based experiences star hotels hyatts marriotts disappointed property, room small buttresses obstructed headroom half room bathroom not cleaned properly arrival staff assume manager duty check-in departure rude wanted argue bathroom day check-in conversations day, continental breakfast listed 12 euros hotel__Ç_é_ website charged 18 euros dining room offerings marginal quality quantity, milk sour service not better, way eat better breakfast 6 euros corner place des invalides.on daughter discovered unpacked luggage home items purchased makeup missing hotel__Ç_é_ internet connection told thursday repaired friday did n't happen, really needed convenience business reason booked hotel.overall satisfactory small hotel left 15th cost times, hotel list places stay paris,  ",1
4364,"paris hiccaps, succumbing rave reviews similar finds dining le cinq dreamed highly anticipated, luxury dining room impressive grand grain doubt good taste yielding knock-out ostentation creeps insidiously steps walking table.the astonishment swallowed silently came welcoming starter arrival possible three-star parisian establishment serve proscuitto absolutely no invention just plain good old proscuitto plate, not italian trattoria__Çî__hat bit shocking ominous quality restaurant judged chef treat arrives, purpose dazzling aria opera hold one__Ç_é_ breath astonish set mood remainder performance, le cinq perfect example rule unfortunately.after starter proudly announced duck advertised having cooked 24 hours revealed best kep secret just chewy sweet overcooked piece protein accompanied chinese style green beans suspiciously reminding taste china town major american city.dessert just mediocre funny pompous described staff eyes rolling ecstasy end bland plain plate, service best ingredient dinner persuasive hypnotic waiters speaking solemnly awe reverence dishes, sobering tastelessness bite painful feel inability join near-religious worship eclectic edible food, explanation try le cinq food it__Ç_é_ exorbitantly expensive management prohibits chef taste spoon, sad desire different extravagant exterminated bottom-line serving fine french cuisine delight senses, le cinq hype vogue prestige managed create diners simply n't dare admit poor food paying fortune evening surrealistic gastronomic discovery, note dÄcor flowers clear vases seasons signature cairo boston decorations similar, takes previously assigned admiration originality somewhat away, let feasting season paris discovered great places like l__Ç_©¢spadon compare truffles truffles,  ",2
4369,"disappointing arrived georges v friday july 8th, attention welcome daughter excellent, missing, service excellent not exceptional, extremely disappointed return room saturday 2pm sightseeing 5 hours not, spoke manager free meal compensate real let, personally prefer ritz, oasis-like, romantic weekend deux ritz tops say georges v really did make fuss daughter,  ",2
4373,"not business, nice hotel n't stay unless n't care not receive faxes time telephones transfered wrong room unlucky family guest better stay plaza athenee meurice, splendid service overthere,  ",1
4399,"like run-down westin definitely agree reviewers wrote pulitzer not luxury collection standards, booked hotel starwood preferred guest program received night free points, points corporate rate supposed pay 800 euros 5 night stay reasonable.when arrived received treatment desk previous reviewers trouble deciphering reservations booked starwood agent wait 5 hours room arrived 9:00 a.m. imagine typical american travelers overnight flights option generally disorganized not cordial not rude, desk clerk finally got told received complimentary upgrade nights include breakfast reservations included did not room spacious european standards canal-front room, clean bright, bathroom small shower/bathtub combo single sink pretty did great water pressure, air conditioner worked sometimes-warm august days, tv older no flat panels, furniture nice shabby scratched dented, canal perks hear people walking talking shouting laughing wee hours, ear plugs helped problem, fairly major renovations floor not notified arriving check, painting walls outside room replacing carpet, heard banging day, luxury hotels avoid booking rooms sort renovation warn guests not pulitzer, services food offered hotel expensive, internet 20/day tours offered concierge desk topped 200 euros breakfast great n't spend extra 75 euros night include price room seemingly differentiator regular room executive, did spend 38 euros pp 1.5 hour ride lovely canal boat great not family baby showed late stroller displaced passengers, check-out not reconciled starwood reservations charging free upgrade received check-in, bring charged extra 400 euros stay, able negotiate just 125 euros finally gave, time home leave pulitzer,  ",2
4402,"worst, impression looked ok. room n't ready check normal, desk girl alexis not friendly negative, room came search rear hotel elevator, entering room stale air stench overpowering, room old price 400 euros, starwood embarrassed, hotels stayed, room old worn, small flies room, weathered, checked did n't spend 15 minutes room, showed room just bad not clean, moved amstel hotel true 5 star,  ",1
4403,"great location not 5 star stayed 3 nights 08 executive canal room, good stuffthe location best amsterdam away noise seedy amsterdam, hotel situated quiet picture postcard canal room 282d lovely views canal entrance houses big tall windows light sunny worth staying location dylan compare want quiet upmarket residential area.staff friendly helpful great restaurants bars nearby recommend koh noor indian corner book advance small used locals.bed superb comfortable excellent linens choice pillows.room clean housekeeping did provide turndown service etclots hot water marble bathroom good shower tub plenty toiletries refreshed daily, towels soft plentifuldid hotel boat trip went 11am sunday quiet wonderful better big tour water buses worth extrafood b/fast excellent did busybar excellent pricey service good.free internet access printing business centre ideal online check inconceirge helpfuldisappointingwhilst good stay hotel did not live 5 star expectations, room small luxury standards bathroom small just did not like 5 star hotel great location lacking finess service, room dated showing signs wear tear true hotel lots scuffed walls dated carpets reception needs remodelling did ask change rooms larger told best executive rooms shocked, hotel no upgrades availabledue lack soundproofing noise travels noisy neighbours door impacted sleep.our trip special occasion booked champagne flowers arrival chased eventually delivered day champagne half bottle mean booking option does not say bottle difference price assumed, hotel weekend offers cheaper b/fasts 9am best time 9.45 peak time 11am b/fast served 1pm weekends, food good plentiful freshly squeezed oj service struggled saturday sunday morning monday better service guess week better quietier, great coffee lots choices buffet.overall reasonable stay not 5 star 4-4.5 location bed/linens mean visit book advance best rate wait rate goes, left late paid got, getting hotel points bargin espiecally canal view room booking state room high floor canal noisy weekends locals taking boats,  ",2
4404,"wrongfully charged room cancelled early fully refundable reservation stay hotel pulitzer travel agent travel agent cancel reservation couple months arrival date better deal, travel agent promptly cancelled reservation pulitzer charged refused credit despite fact provide no documentation explain position, not months later credit card company resolved matter favor, shocked way matter mishandled hotel,  ",1
4422,"disappointment, just assumed hotel listed star member starwood luxury collection expect good experience, hotel pulitzer, location architecture superb rooms poorly maintained staff snobbish, housekeeping did n't live standard expected, curtains room filthy walls desparately need paint job, beware canal view room, weekday morning 5:45 a.m. linen service truck makes delivery using equipment loud jolts deep sleep, noise goes 30 minutes, manager duty told happens morning nothing it.i think hotel pulitzer rated,  ",2
4441,"not 5 star like 3 booked stay hotel nice luxuary weekend thinking going 5 star told double room booked paid previously taken twin room room small bathroom tasteless decor window open fraction curtain pelmet way, staff rude not helpful looking 3 star hotel 5 star price tag not smart thing pick hotel,  ",2
4442,"not expected 5 star hotel yes hotel close central train station traveling train airport city great hotel, construction station making detours necessary.this hotel appointed nicely bathroom larger european hotels, bath amenities far outweigh hotels europe states not having working air-conditioning available 5 star hotel april 27th not acceptable pays high price, opening window gave little relief room faced courtyard.i better service star hotel days later, free breakfast did not match hotels stayed month stay europe, disappointed not stay hotel, price just not worth value, n't care bath amenities given not worth a/c good night sleep,  ",2
4445,"3 star hotel star hotel conran shop make reception dingy motorway hotel rooms prices, plus point location, avoid,  ",2
4449,"overrated stayed hotel week january 2003. rated 5-star hotel expedia.com running special free night booked 3. 150 steal, location great right main square short walk central station department stores/districts red light district, pictures view internet hotel exaggerated, seen images beamed-ceiling rooms wide-agled exaggerated lobby, stayed large unfortunately bit dark stuffy dated 1980s furniture apolstered orange-red, additionally ask desk days stay housekeeping change towels make bed, addition good mold growing marble tiles bathroom unable clean, hotel staff pleasant tried accomidate, large decent hotel rate 3 stars,  ",2
4453,"disappointed raphael high hopes raphael looked beautiful website staff spoke prior reservation helpful, arrived shown suite dark wrinkled old carpet sagging beds, furniture uncomfortable dainty actually sit, small ancient television salon placed table looked like taken basement, redeeming feature large beautiful bathroom french completely renovated not bear thought staying room 4 nights, requested suite brighter nice bathroom salon bedroom little shabby doors cupboards stuck light switches mind night fuse blew turned light sitting room, art rooms public areas impressive did not make dated shabby decor general, people view decor charming not feel hotel class luxurious 30 years ago, expensive rooms nor service merited price.we did visit roof restaurant view atmosphere magical, unfortunately food poor not expected price main courses returned essentially inedible 2nd try recieved no apology charged price meals, left message concierge and/or manager did not receive telephone, regardless mediocre/poor food roof worth visit view, liked visited roof bar 2 4 nights entire roof area closed private party, not return hotel,  ",2
4460,"not star hotel short not impressed hotel, hotel said star hotel like star hotel, booked standard double room fairly small, bed constituted room cracks wall nothing alarming shower did not shower curtain odd nothing suggest upscale room small flat screen tv quite simply average room, certaintly not worth price paid wish gotten hostel instead, recomend place place sleep bear mind not worth cost pay,  ",2
4481,"noise big problem booked hotel relaxing weekend madrid following excellent reviews read tripadvisor, impression not star hotel room quite small poorly fitted disappointing, room rear hotel view dark depressing courtyard, no concierge service mistake asking restaurant recommendation desk, leave recommended establishment ordering food basement bar harsh lighting rude waiter, worst stay unbelievable noise room, hotel big noise problem not outside, rooms wooden floors separated paper walls problem exacerbated marble floors hallway, staff obviously used complaints noise accommodating moving floor room soon available, improvement noisy, plus points excellent location friendly staff n't fooled thinking going star experience felt star rating appropriate,  ",2
4499,"n't understand hype reading great reviews hotel unpleasantly surprised par, old hotel rooms incredibly noisy hear entire conversations folks room bed soft lumpy hard sleep rooms smoky staff did n't knowledgeable tourist opportunities amsterdam museum discounts, staff extremely pleasant cordial place certainly certain charm n't stay, location ideal centrally located lots cafes shops areas, say room does make difference does pay ask rooms not liking,  ",2
4533,"disappointing service stayed westin week july, initially representative checking told giving upgrade higher floor actually downgrade, room old wallpaper peeling paint chipped bathroom tub actually dirty, disgusting, worse tried complain telephone did n't work properly friend jiggle phone cord dial tone.we subsequently moved renovated floor like night day, room lovely bathroom remodeled view fountain directly outside hotel.while location outstanding housekeeping staff wonderful concierge atrocious, time went ask question bothering, desk refused cab told look cabs green light, gee thanks, unbelievable, stayed plenty 5 star hotels worst service ever.if stay n't expect assistance staff make sure room renovated floor,  ",1
4536,"silly policy children tried book hotel family 2 adults 2 small children 5 years old, insisted 2 rooms law prevented allowing 4 people children room, pointed just recently stayed westin hotels spain room 4 tracked said n't spanish law westin policy hotels insurance policy, figured just scam make parents fork-out additional room, imagine putting small kids seperate room, worse having sleep room princely sums expected pay palace, took business, parents avoid unless williing spend lots money,  ",2
4546,"good location spent nights art berlin mitte weekend, hotel overpriced, breakfast 14 euro nice included price room, nothing really special hotel, prepared walk cloud smoke time arrive depart hotel, live germany expect smoke little ridiculous, location great took public transportation ubahn right outside hotel, room clean personnel friendly, convention berlin hotels berlin completely booked, situation consider staying hotel,  ",2
4552,"oh dear positive staff exception superb friendly helpful courteous, hotel location central.like frequest travellers curious hotels different styles age service facilities equally classified particular star rating inconsistent offerings, learned accept not accept star rating 5 star gl hotels owned group customer offerings wildly inconsistent, stayed hotel urban madrid early august no fault property positioning 5 star gl market, looked forward stay sister hotel barcelona, disappointed requested early check flight timings informed arrival room not ready not issue, manager hotel hand greet arrival booking upgrade complimentary glass champagne room upgrade, wonderful thought, given room freshen roof bar drink, came signing drink barman not deal complimentary not assigned room, paid, waiting complementary drink given access room 2:30pm, upgrade room duplex category junior suite originally booked, taken upgraded room, lost complaining, various noises curiousity, worked room directly roof pool, noise loungers dragged splashing, pool closes 8. hotel makes reference total sound proofing quiet summer time traffic barcelona centre audible, qualifies upgrade dispare.as room hotel prides antiques collection boasts piece room, missed no obvious antique room, advertised tea/coffee facilities did not exist no iron/ironing board available meaning costly hotel services used, entirely unacceptable, bathroom clean functionally totally need modernisation.no wo n't expectation gap madrid experience felt let,  ",1
4567,"disappointing n't waste money booked hotel husband went cruise disappointed, staff unwelcoming hotel cold, egyptian museum does not warm hotel, left hotel 1 night booked hotel door majestic great,  ",1
4568,"not majestic stayed hotel week husband christmas/new year, booked 6 nights 219 euros night, room originally allocated small limited facilities no mini bar cd player dvd certainly not worth money, awful sewage smell corridor room, complained immediately, manager slow respond told staff thinking moving different hotel unsurprisingly helpful, moved bigger fragrant room second floor better not charged additional good, husband booked hotel advised cd player room, not correct, howeevr offered loan cd player cost 30 euros day outrageous, service generally far standard expect 5 star hotel, consider pretty laid especially holiday constantly having chase reception/housekeeping slow responding requests, took days answer cd player, thing disappointed breakfast not included room rate quite frankly recommend going outside hotel breakfast not worth 25 euros hotel charging, say pleased gym roof terrace views barcelona great imagine fantastic summer, great spa little costly, location hotel good great access main sites shopping areas excellent restaurants, accustomed staying smaller boutique hotels excellent service levels e.g, ca maria adele venice carlisle bay antigua w new york hotel du vin uk tokoriki fiji different experience, like particularly mature conservative crowd not hotel young case young heart service levels important, not mention contemporary styling did mention hotel quite traditional, plus people like suggest looking hotel neri hotel arts houses fantastic arola restaurant mrs c,  ",2
4572,"not star hotel just returned day stay barcelona.we stayed standard room cost day room, smallest star hotel room world, certainly smallest, desire swing cat n't room.the air conditioning did not work properly, result sleep window open faced busiest streets city did not make relaxing night.the bathroom crowning glory, impossible stand pee pan close sink, pretty difficult sit struggled feet floor pan sink, shower power left handed serve right handed tennis player just no shower screen meant floor toilet pan soaked time shower used.from smell lift room door think dead body floor eight.the basement restaurant looked plastic soul gave body swerve.the reason review stretches stars ate restaurant drolma, menu exclusive wonderful albeit price dinner ok bottle rioja couple glasses champagne came whopping 485 euros.barcelona superb, drolma superb, majestic massive disappointment,  ",2
4574,"disappointed hotel just returned celebration break away 5* majestic hotel, booked 3 nights stayed terrible, booked hotel website chose particular hotel reasons main pool facilites, travelling lift room noticed small typed note advising pool spa closed refurbishment, not did not advise checked importantly felt angry was/is no mention refurbishment website, complaining reception cold unsympathetic gave couple free passes pool 3 blocks away hardly, room nothing like expect 5* hotel plus booked superior room, bathroom smallest seen, chose check following morning hotel met requirements luckily hotel 1898 say lovely hotel 4 star opinion far superior majestic, felt able finally enjoy break away, returning home wrote letter gm feel strongly advising potential customers fact facilities closed refurbishment giving people option especially pride priority customer satisfaction, wanted answers not advised place basically avoided questions wrote receive letter stating improving facilities, experience totally appalling treated stay, normally complain occassion felt, not money did cost 240 euros experience fact people like able book hotel false advertising,  ",1
4581,"not recommend hotel room hotel did not natural light outside, beds sunken impossible sleep, worst beds seen hotel rating, concierge presence sporadic reception staff quite helpful, final contained incorrect charges check bills carefully, hotel overpriced, not stay good location,  ",2
4590,"hotel best star hotel 5 star price ordered superior room nights late 2005 majestic assuming hotel really 5 star hotel, arriving hotel 5 star hotel near expected service quality professional staff, not, complaining got upgrade premier room 712 not nearby 5 star hotel quality hotels visited before.the facts price paid 400 euro small stinky room small bathroom, poor quality furniture good view balcony.a lot traffic noise 0530 morning, window open smell air condition really terrible, hotel prepaid refused let moved hotel check-in complained promtly, asked refound 1 night refused this.faced 1200 euro nights felt like stay there.so looking 5 star hotel experience not place.the 5 star price.so message clear stay away majestic rip-off majestic fantasy prices arrogant staff stinky rooms, came casa fuster 5 star hotel 500 m away real 5 star hotel, hotel compared majestic absolutely fantastic, cheaper better service friendlyness staff superb.t.ellefsen norway,  ",1
